lsoa,boardings,alightings,total_activity,direction_ratio,exact_direction_zero,near_zero_ratio_lt_0_01,hub_split_supported,supporting_hubs,missing_direction,eligible_two_direction_clustering,exclusion_reason
E01000001,1752.0304700000002,1034.11056,2786.1410300000002,0.5902354883131684,False,False,False,,,True,
E01000002,71.70143999999999,33.04689,104.74832999999998,0.4608957644365302,False,False,False,,,True,
E01000005,6021.3734699999995,6358.73554,12380.10901,0.9469451012897447,False,False,False,,,True,
E01000007,6752.2885799999995,3382.32202,10134.6106,0.500914909060359,False,False,False,,,True,
E01000009,5629.7669000000005,6736.759330000001,12366.526230000001,0.8356787921648968,False,False,False,,,True,
E01000011,360.1349,300.54277,660.67767,0.8345283114743948,False,False,False,,,True,
E01000012,453.93178,1055.28905,1509.2208300000002,0.4301492373108581,False,False,False,,,True,
E01000013,2851.89379,1914.1687200000001,4766.06251,0.671192148428501,False,False,False,,,True,
E01000015,1.5377599999999998,0.27312,1.8108799999999998,0.1776089896993029,False,False,False,,,True,
E01000016,60.60476,50.1008,110.70555999999999,0.8266809405729847,False,False,False,,,True,
E01000017,478.37063,790.49981,1268.8704400000001,0.6051495825153962,False,False,False,,,True,
E01000018,81.58763,157.89174,239.47937000000002,0.5167314642298578,False,False,False,,,True,
E01000019,108.87362,123.53926999999999,232.41289,0.8812875452477582,False,False,False,,,True,
E01000020,146.34117,197.01647,343.35764,0.7427864787141908,False,False,False,,,True,
E01000021,249.22105,318.27825,567.4993,0.7830288434726532,False,False,False,,,True,
E01000024,830.26479,940.4639500000001,1770.72874,0.8828246845612742,False,False,False,,,True,
E01000027,677.9397,1135.25859,1813.1982899999998,0.597167646183589,False,False,False,,,True,
E01000029,215.59393,559.71493,775.30886,0.3851852406366934,False,False,False,,,True,
E01000030,197.89828,502.27387,700.17215,0.39400472893403754,False,False,False,,,True,
E01000031,130.83197,195.28832,326.12029,0.6699426263690528,False,False,False,,,True,
E01000032,311.84445999999997,285.97339,597.8178499999999,0.9170385454338359,False,False,False,,,True,
E01000034,372.9371,562.9557199999999,935.8928199999999,0.6624625823146446,False,False,False,,,True,
E01000035,694.1173,865.2506599999999,1559.36796,0.8022152794428381,False,False,False,,,True,
E01000036,688.2475000000001,689.43792,1377.68542,0.9982733470767029,False,False,False,,,True,
E01000038,118.46069,157.92193,276.38262,0.7501218481815667,False,False,False,,,True,
E01000039,18.86636,9.275619999999998,28.141979999999997,0.4916486275041925,False,False,False,,,True,
E01000040,331.11321999999996,586.32963,917.4428499999999,0.5647219636503786,False,False,False,,,True,
E01000041,146.96089,310.33889,457.29978,0.47354970561375664,False,False,False,,,True,
E01000042,109.68861,223.63828,333.32689,0.49047332147251355,False,False,False,,,True,
E01000043,108.08937,124.63328999999999,232.72266,0.867259221031556,False,False,False,,,True,
E01000045,617.61221,696.59975,1314.21196,0.8866098645599572,False,False,False,,,True,
E01000049,89.48281,34.5366,124.01941,0.38595792867926254,False,False,False,,,True,
