lsoa,boardings_audit,alightings_audit,total_activity,direction_ratio,exact_direction_zero,near_zero_ratio_lt_0_01,alightings_current,boardings_current,boarding_abs_diff,alighting_abs_diff
E01000001,1752.0304700000002,1034.11056,2786.1410300000002,0.5902354883131684,False,False,1034.11056,1752.03047,2.2737367544323206e-13,0.0
E01000002,71.70143999999999,33.04689,104.74832999999998,0.4608957644365302,False,False,33.04689,71.70144,1.4210854715202004e-14,0.0
E01000005,6021.3734699999995,6358.73554,12380.10901,0.9469451012897447,False,False,6358.73554,6021.37347,9.094947017729282e-13,0.0
E01000007,6752.2885799999995,3382.32202,10134.6106,0.500914909060359,False,False,3382.32202,6752.28858,9.094947017729282e-13,0.0
E01000009,5629.7669000000005,6736.759330000001,12366.526230000001,0.8356787921648968,False,False,6736.75933,5629.7669000000005,0.0,9.094947017729282e-13
E01000011,360.1349,300.54277,660.67767,0.8345283114743948,False,False,300.54277,360.13489999999996,5.684341886080802e-14,0.0
E01000012,453.93178,1055.28905,1509.2208300000002,0.4301492373108581,False,False,1055.28905,453.93178,0.0,0.0
E01000013,2851.89379,1914.1687200000001,4766.06251,0.671192148428501,False,False,1914.16872,2851.89379,0.0,2.2737367544323206e-13
E01000015,1.5377599999999998,0.27312,1.8108799999999998,0.1776089896993029,False,False,0.27312,1.5377599999999998,0.0,0.0
E01000016,60.60476,50.1008,110.70555999999999,0.8266809405729847,False,False,50.1008,60.60476,0.0,0.0
E01000017,478.37063,790.49981,1268.8704400000001,0.6051495825153962,False,False,790.49981,478.37063,0.0,0.0
E01000018,81.58763,157.89174,239.47937000000002,0.5167314642298578,False,False,157.89174,81.58763,0.0,0.0
E01000019,108.87362,123.53926999999999,232.41289,0.8812875452477582,False,False,123.53927,108.87361999999999,1.4210854715202004e-14,1.4210854715202004e-14
E01000020,146.34117,197.01647,343.35764,0.7427864787141908,False,False,197.01647,146.34117,0.0,0.0
E01000021,249.22105,318.27825,567.4993,0.7830288434726532,False,False,318.27825,249.22105,0.0,0.0
E01000024,830.26479,940.4639500000001,1770.72874,0.8828246845612742,False,False,940.4639500000001,830.26479,0.0,0.0
E01000027,677.9397,1135.25859,1813.1982899999998,0.597167646183589,False,False,1135.25859,677.9397,0.0,0.0
E01000029,215.59393,559.71493,775.30886,0.3851852406366934,False,False,559.71493,215.59393,0.0,0.0
E01000030,197.89828,502.27387,700.17215,0.39400472893403754,False,False,502.27387,197.89828,0.0,0.0
E01000031,130.83197,195.28832,326.12029,0.6699426263690528,False,False,195.28832,130.83197,0.0,0.0
E01000032,311.84445999999997,285.97339,597.8178499999999,0.9170385454338359,False,False,285.97339,311.84445999999997,0.0,0.0
E01000034,372.9371,562.9557199999999,935.8928199999999,0.6624625823146446,False,False,562.95572,372.9371,0.0,1.1368683772161603e-13
E01000035,694.1173,865.2506599999999,1559.36796,0.8022152794428381,False,False,865.2506599999999,694.1173,0.0,0.0
E01000036,688.2475000000001,689.43792,1377.68542,0.9982733470767029,False,False,689.43792,688.2475,1.1368683772161603e-13,0.0
E01000038,118.46069,157.92193,276.38262,0.7501218481815667,False,False,157.92193,118.46069,0.0,0.0
E01000039,18.86636,9.275619999999998,28.141979999999997,0.4916486275041925,False,False,9.275619999999998,18.86636,0.0,0.0
E01000040,331.11321999999996,586.32963,917.4428499999999,0.5647219636503786,False,False,586.3296300000001,331.11322,5.684341886080802e-14,1.1368683772161603e-13
E01000041,146.96089,310.33889,457.29978,0.47354970561375664,False,False,310.33889,146.96089,0.0,0.0
E01000042,109.68861,223.63828,333.32689,0.49047332147251355,False,False,223.63828,109.68861,0.0,0.0
E01000043,108.08937,124.63328999999999,232.72266,0.867259221031556,False,False,124.63328999999999,108.08936999999999,1.4210854715202004e-14,0.0
E01000045,617.61221,696.59975,1314.21196,0.8866098645599572,False,False,696.59975,617.61221,0.0,0.0
E01000049,89.48281,34.5366,124.01941,0.38595792867926254,False,False,34.5366,89.48281,0.0,0.0
E01000050,1128.75595,1399.69472,2528.45067,0.8064300978430496,False,False,1399.69472,1128.75595,0.0,0.0
E01000052,442.62109000000004,764.76649,1207.38758,0.5787663238225829,False,False,764.76649,442.62109,5.684341886080802e-14,0.0
E01000053,328.17187,325.92299,654.09486,0.9931472493361482,False,False,325.92299,328.17187,0.0,0.0
E01000056,28.52027,20.35541,48.87568,0.7137172965052575,False,False,20.35541,28.52027,0.0,0.0
E01000057,148.52031,150.62525,299.14556,0.9860253178003024,False,False,150.62525,148.52031,0.0,0.0
E01000058,136.87653,195.77280000000002,332.64933,0.699160097827686,False,False,195.7728,136.87653,0.0,2.842170943040401e-14
E01000060,2156.48855,2529.30578,4685.794330000001,0.8526009654712448,False,False,2529.30578,2156.48855,0.0,0.0
E01000061,720.25815,874.05205,1594.3102,0.8240449181487532,False,False,874.05205,720.25815,0.0,0.0
E01000062,21.37593,130.77706,152.15299000000002,0.16345320807793048,False,False,130.77706,21.37593,0.0,0.0
E01000063,225.45502000000002,75.39097,300.84599000000003,0.3343947276046459,False,False,75.39097,225.45502,2.842170943040401e-14,0.0
E01000064,373.70453,472.94702,846.65155,0.7901615068850629,False,False,472.94702,373.70453,0.0,0.0
E01000065,193.04521,316.91742999999997,509.96263999999996,0.6091340889644348,False,False,316.91742999999997,193.04521,0.0,0.0
E01000067,515.92615,299.576,815.50215,0.5806567470945212,False,False,299.576,515.92615,0.0,0.0
E01000068,176.10182,180.41655,356.51837,0.9760846219484853,False,False,180.41655,176.10182,0.0,0.0
E01000069,16.43341,74.92798,91.36139,0.21932274165138307,False,False,74.92798,16.43341,0.0,0.0
E01000070,925.40961,1118.9576399999999,2044.3672499999998,0.8270282778533066,False,False,1118.95764,925.40961,0.0,2.2737367544323206e-13
E01000071,146.37768,102.75161,249.12929,0.701962280041602,False,False,102.75161,146.37768,0.0,0.0
E01000072,223.72885,365.17728999999997,588.9061399999999,0.6126581694058796,False,False,365.17728999999997,223.72885,0.0,0.0
E01000073,88.40006,90.08482,178.48487999999998,0.9812980699744974,False,False,90.08482,88.40006,0.0,0.0
E01000074,112.02137,136.51215,248.53352,0.8205963351980026,False,False,136.51215,112.02136999999999,1.4210854715202004e-14,0.0
E01000075,1272.13834,1179.7675199999999,2451.90586,0.9273893277990505,False,False,1179.76752,1272.13834,0.0,2.2737367544323206e-13
E01000076,36.953939999999996,47.16991,84.12385,0.783421889081408,False,False,47.16991,36.953939999999996,0.0,0.0
E01000077,884.62072,699.4763,1584.0970200000002,0.7907075701324292,False,False,699.4763,884.62072,0.0,0.0
E01000078,411.58169,532.6506400000001,944.23233,0.7727047694901857,False,False,532.65064,411.58169,0.0,1.1368683772161603e-13
E01000079,116.00551999999999,157.09548,273.101,0.738439578274308,False,False,157.09548,116.00551999999999,0.0,0.0
E01000080,89.86012,96.78161,186.64173,0.928483417459164,False,False,96.78161,89.86012,0.0,0.0
E01000081,243.41174,96.02599,339.43773,0.39450024062109734,False,False,96.02599,243.41174,0.0,0.0
E01000082,469.84999,1321.0939899999998,1790.9439799999998,0.3556522045793275,False,False,1321.09399,469.84999,0.0,2.2737367544323206e-13
E01000083,775.82867,2055.89907,2831.72774,0.37736710002986673,False,False,2055.89907,775.82867,0.0,0.0
E01000084,365.84486,449.8755,815.72036,0.8132135668646103,False,False,449.8755,365.84486,0.0,0.0
E01000085,357.18583,322.12651,679.31234,0.9018457143162706,False,False,322.12651,357.18583,0.0,0.0
E01000086,149.18012,52.61714,201.79726,0.35270879256565824,False,False,52.61714,149.18012,0.0,0.0
E01000087,1590.77057,2635.84037,4226.61094,0.6035155194166785,False,False,2635.84037,1590.77057,0.0,0.0
E01000088,148.52464,194.50522,343.02986,0.7636023341687179,False,False,194.50522,148.52464,0.0,0.0
E01000090,323.67836,597.02689,920.70525,0.5421503878996137,False,False,597.02689,323.67836,0.0,0.0
E01000091,408.49288,1535.09329,1943.58617,0.2661029675922823,False,False,1535.09329,408.49288,0.0,0.0
E01000093,731.17796,1103.22931,1834.40727,0.6627615432008419,False,False,1103.22931,731.17796,0.0,0.0
E01000094,853.0262299999999,1145.03003,1998.0562599999998,0.7449815355497708,False,False,1145.03003,853.02623,1.1368683772161603e-13,0.0
E01000095,1279.66351,1130.83612,2410.4996300000003,0.8836980277729416,False,False,1130.83612,1279.66351,0.0,0.0
E01000096,327.52172,362.3241,689.84582,0.903946825507881,False,False,362.3241,327.52171999999996,5.684341886080802e-14,0.0
E01000097,202.56664999999998,346.94032,549.5069699999999,0.5838659801778011,False,False,346.94032,202.56665,2.842170943040401e-14,0.0
E01000098,132.42029,211.21984,343.64013,0.6269311159406237,False,False,211.21984,132.42029,0.0,0.0
E01000099,420.79345,556.44359,977.23704,0.7562194219902866,False,False,556.44359,420.79345,0.0,0.0
E01000101,305.23526,46.62994,351.86519999999996,0.15276721306706179,False,False,46.62994,305.23526,0.0,0.0
E01000102,197.01235,280.39199,477.40434000000005,0.7026318761816269,False,False,280.39199,197.01235,0.0,0.0
E01000103,32.46996,41.77598999999999,74.24595,0.7772397494350225,False,False,41.77599,32.46996,0.0,7.105427357601002e-15
E01000104,412.03743,743.80635,1155.84378,0.5539579354223044,False,False,743.80635,412.03743,0.0,0.0
E01000105,1957.61125,1645.9971699999999,3603.6084199999996,0.8408192229177268,False,False,1645.99717,1957.6112500000002,2.2737367544323206e-13,2.2737367544323206e-13
E01000106,100.77207,270.76752999999997,371.53959999999995,0.3721719144093829,False,False,270.76753,100.77207,0.0,5.684341886080802e-14
E01000108,59.65479,25.231659999999998,84.88645,0.4229611737800099,False,False,25.231659999999998,59.65479,0.0,0.0
E01000110,167.32073,282.63772,449.95844999999997,0.5919971686723201,False,False,282.63772,167.32073,0.0,0.0
E01000111,535.4376500000001,580.46856,1115.90621,0.922423171377275,False,False,580.46856,535.43765,1.1368683772161603e-13,0.0
E01000112,1244.5954299999999,1122.53265,2367.12808,0.9019257366227034,False,False,1122.53265,1244.59543,2.2737367544323206e-13,0.0
E01000113,1035.43139,739.9252899999999,1775.3566799999999,0.7146058127521129,False,False,739.92529,1035.43139,0.0,1.1368683772161603e-13
E01000114,534.68609,1636.9064600000002,2171.5925500000003,0.32664425430882593,False,False,1636.90646,534.68609,0.0,2.2737367544323206e-13
E01000115,26.315819999999995,28.737859999999998,55.05367999999999,0.9157195420953403,False,False,28.737859999999998,26.31582,3.552713678800501e-15,0.0
E01000116,7.40416,10.42255,17.82671,0.7103981271377926,False,False,10.42255,7.40416,0.0,0.0
E01000117,96.48759,213.25933,309.74692,0.4524425261956886,False,False,213.25933,96.48759,0.0,0.0
E01000118,344.98287,645.5728,990.55567,0.5343825979037531,False,False,645.5728,344.98287,0.0,0.0
E01000120,199.07163000000003,185.7432,384.81483000000003,0.9330470645164255,False,False,185.7432,199.07163,2.842170943040401e-14,0.0
E01000121,52.27016,107.34919,159.61935,0.4869171346332469,False,False,107.34919,52.27016,0.0,0.0
E01000123,43.91363,129.51245,173.42608,0.33906879222808306,False,False,129.51245,43.91363,0.0,0.0
E01000124,183.86412,310.32446,494.18858,0.5924899377896283,False,False,310.32446,183.86411999999999,2.842170943040401e-14,0.0
E01000126,251.72339,437.97027,689.69366,0.574749948209955,False,False,437.97027,251.72339,0.0,0.0
E01000127,150.42646,257.51592,407.94237999999996,0.5841443123205742,False,False,257.51592,150.42646,0.0,0.0
E01000128,56.12278,119.72915,175.85193,0.46874783626209654,False,False,119.72915,56.12278,0.0,0.0
E01000129,3587.48146,3039.6371,6627.11856,0.8472899815348454,False,False,3039.6371,3587.48146,0.0,0.0
E01000130,362.17578000000003,708.47134,1070.64712,0.511207383491335,False,False,708.47134,362.17578,5.684341886080802e-14,0.0
E01000131,149.99448,162.87974,312.87422000000004,0.9208909591825233,False,False,162.87974,149.99448,0.0,0.0
E01000133,178.92697,498.00260000000003,676.92957,0.35928922861045304,False,False,498.00260000000003,178.92696999999998,2.842170943040401e-14,0.0
E01000134,152.72768,235.33862999999997,388.06630999999993,0.6489698695025122,False,False,235.33863,152.72768,0.0,2.842170943040401e-14
E01000135,167.77637000000001,183.21079,350.98716,0.9157559442869059,False,False,183.21079,167.77637,2.842170943040401e-14,0.0
E01000136,304.48402,292.87073999999996,597.3547599999999,0.9618591478134056,False,False,292.87074,304.48402,0.0,5.684341886080802e-14
E01000137,55.20688,110.23362999999999,165.44051,0.5008170374140813,False,False,110.23362999999999,55.20688,0.0,0.0
E01000138,217.39238,548.11512,765.5075,0.3966181046054704,False,False,548.11512,217.39238,0.0,0.0
E01000139,1208.20588,1995.0980599999998,3203.30394,0.6055872160990423,False,False,1995.09806,1208.20588,0.0,2.2737367544323206e-13
E01000140,792.93799,1587.56207,2380.50006,0.4994689687943981,False,False,1587.56207,792.93799,0.0,0.0
E01000141,4557.261930000001,5196.50583,9753.76776,0.8769858206817408,False,False,5196.50583,4557.26193,9.094947017729282e-13,0.0
E01000143,179.02572999999998,268.27553,447.30125999999996,0.6673203851279317,False,False,268.27553,179.02573,2.842170943040401e-14,0.0
E01000144,2882.81786,1029.36295,3912.18081,0.3570683268904127,False,False,1029.36295,2882.81786,0.0,0.0
E01000145,192.87285,253.47424999999998,446.34709999999995,0.7609169373220357,False,False,253.47424999999998,192.87285,0.0,0.0
E01000146,7410.39631,6113.99026,13524.386569999999,0.8250557735690116,False,False,6113.99026,7410.39631,0.0,0.0
E01000147,17.886359999999996,31.197609999999997,49.083969999999994,0.5733246873718851,False,False,31.197609999999997,17.88636,3.552713678800501e-15,0.0
E01000150,189.51706,326.89519,516.41225,0.579748695598733,False,False,326.89519,189.51706000000001,2.842170943040401e-14,0.0
E01000151,453.04894,746.69623,1199.7451700000001,0.6067379501835707,False,False,746.69623,453.04894,0.0,0.0
E01000152,66.65679,124.88265,191.53944,0.5337554095785123,False,False,124.88265,66.65679,0.0,0.0
E01000153,2.85895,12.56055,15.4195,0.2276134404942459,False,False,12.56055,2.85895,0.0,0.0
E01000154,586.1168,797.10293,1383.21973,0.7353088013363595,False,False,797.10293,586.1168,0.0,0.0
E01000156,714.70106,1635.68769,2350.38875,0.4369422502653914,False,False,1635.68769,714.70106,0.0,0.0
E01000158,77.06372,285.24066,362.30438,0.2701708795653467,False,False,285.24066,77.06372,0.0,0.0
E01000159,34.59284,33.86906,68.4619,0.9790771731953779,False,False,33.86906,34.592839999999995,7.105427357601002e-15,0.0
E01000160,349.39148,399.38993,748.78141,0.8748129428300809,False,False,399.38993,349.39148,0.0,0.0
E01000161,580.96672,876.6688,1457.63552,0.6626980679590742,False,False,876.6688,580.96672,0.0,0.0
E01000162,946.68376,1465.48747,2412.17123,0.6459855709308794,False,False,1465.48747,946.68376,0.0,0.0
E01000164,1116.24658,1920.42252,3036.6691,0.5812505156417349,False,False,1920.42252,1116.24658,0.0,0.0
E01000166,26.151,3.1482099999999993,29.29921,0.12038583610569382,False,False,3.1482099999999993,26.151,0.0,0.0
E01000167,33.73466,65.92544,99.6601,0.5117092885538572,False,False,65.92544,33.73466,0.0,0.0
E01000168,0.05513,7.7169,7.77203,0.007144060438777229,False,True,7.7169,0.05513,0.0,0.0
E01000169,1.1018299999999999,27.04073,28.14256,0.04074705083775475,False,False,27.04073,1.1018299999999999,0.0,0.0
E01000170,66.61775,253.71196,320.32971,0.26257236749895435,False,False,253.71196,66.61775,0.0,0.0
E01000171,923.33321,1039.9406,1963.27381,0.8878711053304391,False,False,1039.9406,923.33321,0.0,0.0
E01000172,65.36012,106.04642,171.40654,0.6163349974473442,False,False,106.04642,65.36012,0.0,0.0
E01000173,59.08671999999999,36.26285,95.34957,0.6137225082048894,False,False,36.26285,59.08672,7.105427357601002e-15,0.0
E01000174,424.71573,543.12005,967.83578,0.7819923606208241,False,False,543.12005,424.71573,0.0,0.0
E01000175,33.632929999999995,74.70697,108.3399,0.4501980203453573,False,False,74.70697,33.63293,7.105427357601002e-15,0.0
E01000176,96.33295,200.73827,297.07122,0.47989329588224505,False,False,200.73827,96.33295,0.0,0.0
E01000178,235.46994,224.9299,460.39984000000004,0.9552382779729761,False,False,224.9299,235.46994,0.0,0.0
E01000180,37.60513,43.543679999999995,81.14881,0.8636185549774389,False,False,43.54368,37.605129999999996,7.105427357601002e-15,7.105427357601002e-15
E01000181,212.40227,209.89971,422.30197999999996,0.9882178283687835,False,False,209.89971,212.40227,0.0,0.0
E01000182,1351.59,1143.69448,2495.2844800000003,0.846184479021005,False,False,1143.6944799999999,1351.59,0.0,2.2737367544323206e-13
E01000183,176.12883,163.06536999999997,339.19419999999997,0.9258300869880302,False,False,163.06537,176.12883,0.0,2.842170943040401e-14
E01000184,244.21895999999998,694.80056,939.01952,0.3514950534870035,False,False,694.80056,244.21895999999998,0.0,0.0
E01000185,94.60419,47.47794,142.08213,0.5018587443114305,False,False,47.47794,94.60419,0.0,0.0
E01000186,143.55047,255.57738,399.12784999999997,0.5616712637088618,False,False,255.57738,143.55047,0.0,0.0
E01000187,68.84893,222.6323,291.48123,0.30924951141411194,False,False,222.6323,68.84893,0.0,0.0
E01000188,89.74983999999999,684.8778199999999,774.6276599999999,0.1310450380770106,False,False,684.87782,89.74984,1.4210854715202004e-14,1.1368683772161603e-13
E01000189,148.44911,62.61323,211.06234,0.42178245460683467,False,False,62.61323,148.44911,0.0,0.0
E01000190,62.696509999999996,22.94178,85.63829,0.3659179753386592,False,False,22.94178,62.696509999999996,0.0,0.0
E01000191,206.86609,259.70963,466.57572000000005,0.7965283767105594,False,False,259.70963,206.86608999999999,2.842170943040401e-14,0.0
E01000192,148.19019,159.92338,308.11357,0.9266324286042478,False,False,159.92337999999998,148.19019,0.0,2.842170943040401e-14
E01000193,5772.65423,6695.56226,12468.216489999999,0.8621612354329747,False,False,6695.56226,5772.65423,0.0,0.0
E01000194,3681.12521,1761.99,5443.11521,0.4786552750809582,False,False,1761.99,3681.12521,0.0,0.0
E01000195,120.58843999999999,0.0,120.58843999999999,0.0,True,False,0.0,120.58844,1.4210854715202004e-14,0.0
E01000196,1494.85104,1704.41836,3199.2694,0.8770446711217075,False,False,1704.41836,1494.85104,0.0,0.0
E01000197,161.51583000000002,213.64636,375.16219,0.7559961704940821,False,False,213.64636,161.51583,2.842170943040401e-14,0.0
E01000198,131.55182,211.74074,343.29256,0.6212872402353935,False,False,211.74074,131.55182,0.0,0.0
E01000199,32.43853,43.51864,75.95716999999999,0.7453939277514188,False,False,43.51864,32.43853,0.0,0.0
E01000200,143.0165,231.76608,374.78258,0.6170726104527462,False,False,231.76608,143.0165,0.0,0.0
E01000201,122.53644,298.02486,420.56129999999996,0.411161807105622,False,False,298.02486,122.53643999999998,1.4210854715202004e-14,0.0
E01000202,171.1415,223.22784,394.36933999999997,0.7666673655042311,False,False,223.22784,171.1415,0.0,0.0
E01000203,772.7897,926.9323099999999,1699.72201,0.8337067244964199,False,False,926.93231,772.7897,0.0,1.1368683772161603e-13
E01000204,69.04759,28.815129999999996,97.86272,0.417322747977156,False,False,28.815129999999996,69.04759,0.0,0.0
E01000205,83.42331,207.35231,290.77562,0.4023264076488948,False,False,207.35231,83.42331,0.0,0.0
E01000206,200.34896,159.20809,359.55705,0.7946539378093103,False,False,159.20809,200.34896,0.0,0.0
E01000207,29.133709999999997,39.24005,68.37375999999999,0.7424483404073134,False,False,39.24005,29.13371,3.552713678800501e-15,0.0
E01000208,2719.30156,1463.87923,4183.18079,0.5383291252184623,False,False,1463.87923,2719.30156,0.0,0.0
E01000209,22.966169999999998,41.92801,64.89418,0.5477524452030993,False,False,41.92801,22.966169999999998,0.0,0.0
E01000210,519.54824,726.23388,1245.7821199999998,0.7154007191181991,False,False,726.23388,519.54824,0.0,0.0
E01000211,1868.43419,2699.92488,4568.35907,0.6920319168287378,False,False,2699.92488,1868.43419,0.0,0.0
E01000212,134.383,99.11564,233.49864000000002,0.7375608521911253,False,False,99.11564,134.383,0.0,0.0
E01000213,50.27668,57.678839999999994,107.95551999999999,0.8716659350292066,False,False,57.678839999999994,50.27668,0.0,0.0
E01000214,2774.30622,5150.35253,7924.6587500000005,0.5386633640784974,False,False,5150.35253,2774.30622,0.0,0.0
