MSOA11CD,od_origin_total,bus_boarding_total,std_residual
E02000001,44997,22980.31571,-0.3936353392087635
E02000002,810,446.25909,-0.08830312370326122
E02000003,1500,1525.38394,0.7493411391720205
E02000004,598,206.08176,-0.7357748482705251
E02000005,1048,630.48957,0.023366796733658327
E02000007,1690,1173.44701,0.20279094092451436
E02000008,1516,1066.71728,0.2269780063420138
E02000009,1262,973.03285,0.3655729943935053
E02000010,391,292.52103,0.38093956664551853
E02000011,1272,632.32679,-0.25644134361303983
E02000012,446,514.40182,0.9867247542944863
E02000013,956,708.5465,0.32329955838788926
E02000014,1617,2404.43482,1.284232124672911
E02000015,997,437.65512,-0.4202371299609918
E02000016,6680,2936.62693,-0.5126896084224531
E02000017,743,6744.17595,3.8862029285643898
E02000018,792,468.70418,0.014062805939407624
E02000019,2461,684.52859,-1.1117717303659016
E02000020,1432,1453.14683,0.7486010047775555
E02000021,1153,875.385,0.34817075628748995
E02000022,675,146.77616,-1.3916824179587668
E02000023,490,854.89209,1.56826186073139
E02000024,1981,1977.88868,0.7097367380439551
E02000025,569,340.04962,0.044550599316223495
E02000026,115,32.21359,-0.9227805596518995
E02000027,640,127.00417,-1.5173834912989974
E02000028,416,464.98591,0.9457079663452576
E02000029,1929,663.61406,-0.7985555899309231
E02000030,454,210.77769,-0.30059426963792474
E02000031,855,1218.53563,1.254978613440329
E02000032,449,82.92027999999999,-1.5971007437503657
E02000033,850,275.17156,-0.8426332449543574
E02000034,762,264.42971,-0.7387608600382355
E02000035,578,355.11345,0.08286128663176044
E02000036,1121,453.86268,-0.5405957805343954
E02000037,787,255.93718,-0.832173335470511
E02000038,908,780.57438,0.5359011061287116
E02000039,1695,1297.59807,0.3409640925130368
E02000040,575,702.71784,1.0564081474848226
E02000041,3944,3446.50195,0.4871385727277393
E02000042,2554,3024.50479,0.9392450989784578
E02000043,326,111.36375,-0.7147813816661113
E02000044,738,382.95616,-0.16833275301465161
E02000045,944,705.51955,0.33574853539557364
E02000046,2285,1605.6438899999998,0.20487493285460207
E02000047,2729,1828.80447,0.1289234386682761
E02000048,753,218.376,-0.9915958727751727
E02000049,940,570.86159,0.04210299706293249
E02000050,1192,687.48001,-0.042810147947104464
E02000051,1606,1212.35655,0.3237588541065602
E02000052,3062,536.4936299999999,-1.7771944478743371
E02000053,3236,1010.28776,-0.9619059363963175
E02000054,885,424.39979,-0.28912091049355926
E02000055,3209,2385.4763,0.26797610663047516
E02000056,605,1779.12451,2.2980316351057555
E02000057,746,1097.64678,1.3067564835024736
E02000058,851,707.78077,0.4922622196898874
E02000059,2216,1879.50708,0.47304208996447844
E02000060,1242,675.51473,-0.12790429564001485
E02000061,3505,5167.653,1.234496716967833
E02000062,5133,5725.61543,0.8203327235079334
E02000063,413,259.77902,0.13310332493417756
E02000064,687,974.18064,1.258401161148691
E02000065,1223,573.2459299999999,-0.3377326112490248
E02000066,1693,3613.52105,1.7943945360450968
E02000067,2122,900.3410700000001,-0.5063078439376847
E02000068,2386,1218.5896,-0.2494329879135913
E02000069,587,316.10961,-0.10427225091219214
E02000070,579,297.01457,-0.17224850880564324
E02000071,465,141.51457,-0.8973488594719345
E02000072,1504,670.60205,-0.4188320235626494
E02000073,979,584.82967,0.016750010643789563
E02000074,674,67.73653,-2.4749701274719094
E02000075,489,99.21931,-1.4703216364944791
E02000077,301,135.87444,-0.31827519784527175
E02000078,809,337.37015,-0.4821470487438294
E02000079,4480,3470.85409,0.3102246497961285
E02000080,2158,1476.33839,0.1697397282043335
E02000081,678,191.15132,-1.0258004663528342
E02000082,461,149.40217,-0.8083094570765198
E02000083,1975,535.08794,-1.137878114658223
E02000084,488,202.98614,-0.4594745970361362
E02000085,576,333.02676,-0.00286263571454788
E02000086,186,58.93187,-0.7862673503390888
E02000087,696,394.14292,-0.04176562531071603
E02000088,592,105.39952,-1.6653543393377024
E02000089,566,91.88332,-1.7922422029969158
E02000090,3142,1638.76537,-0.2332524519294691
E02000091,1112,701.55573,0.08772028575472354
E02000092,540,423.1743,0.4304715230956064
E02000093,2284,1540.53241,0.14684825654352865
E02000094,2831,1459.63023,-0.24445182277351157
E02000095,3352,2667.06736,0.3622089919001979
E02000096,1305,355.16809,-1.1102373161796695
E02000097,963,1111.11357,0.9499020975909055
E02000098,893,599.53752,0.18665615827558862
E02000099,1464,301.34276,-1.5111270142053659
E02000100,1685,1374.63774,0.4313693471591312
E02000101,3284,3363.05279,0.7209772299886106
E02000102,1138,503.68585,-0.41525592633597375
E02000103,1323,1072.43991,0.4341881470841983
E02000104,1243,679.04852,-0.12169571987632584
E02000105,2384,1807.50157,0.31051622605618784
E02000106,2544,1436.64441,-0.11019011419116545
E02000107,1163,929.92758,0.4211337383810449
E02000108,448,119.87228,-1.0764092377976733
E02000109,5716,1158.27425,-1.6026768489829797
E02000110,620,110.77989,-1.663081306360122
E02000111,2014,5830.58129,2.218156238815418
E02000112,4928,2823.45689,-0.12223128715226796
E02000113,2242,1139.96598,-0.2526524530424535
E02000114,1044,1636.6948,1.380394382285693
E02000115,453,153.95625,-0.740381098730566
E02000116,2118,2501.69078,0.9447036130595761
E02000117,1997,860.81922,-0.48086943069887605
E02000118,1767,135.73254,-2.912252386345525
E02000119,3645,1512.2141299999998,-0.5649376668215121
E02000120,768,1199.40766,1.3897951973839022
E02000121,3721,2278.92236,-0.01390545240691264
E02000122,334,688.80949,1.8231974760084155
E02000123,5551,3186.41459,-0.1253975325191772
E02000124,1599,2299.94513,1.2376640698013817
E02000125,604,141.41326999999998,-1.2813155067263753
E02000126,531,966.76441,1.6248156729748637
E02000127,1283,316.01853,-1.2504444430555397
E02000128,1088,343.08862,-0.8925944433203592
E02000130,2318,1184.46684,-0.24727710794879731
E02000131,2533,1744.49467,0.1713264398175176
E02000132,3109,1015.24712,-0.8962515644177774
E02000133,1054,553.8959,-0.16836537024992518
E02000134,4416,1671.06183,-0.7047989903316072
E02000135,1469,1002.13429,0.18466686904907187
E02000136,786,256.14965,-0.8291382249565807
E02000137,543,197.63322,-0.653551704056658
E02000138,556,293.15671,-0.13136597724126578
E02000139,724,882.69737,1.0418569685839776
E02000140,1099,580.2174,-0.16392031019148692
E02000141,957,359.97285,-0.6366355595870018
E02000142,646,186.81076,-0.9873815418443608
E02000144,8369,5126.82549,-0.05332908475102711
E02000145,1085,91.93684,-2.744845542494323
E02000146,1049,426.02,-0.5328738847868061
E02000147,659,101.54996,-1.874652803187654
E02000148,1572,479.07044,-0.9597748006630429
E02000149,697,252.33653,-0.6742669497534026
E02000150,1153,415.65355,-0.7062778779803831
E02000151,570,60.34576,-2.3908197718977933
E02000152,882,261.40851,-0.9692802347496247
E02000153,710,263.20335,-0.6417768236465696
E02000154,4582,2292.51161,-0.310756594907225
E02000155,424,228.67064,-0.08550745848130435
E02000156,1910,348.29225,-1.6963190972299023
E02000157,627,437.36588,0.25837611462355325
E02000158,593,77.58846,-2.097484771020949
E02000159,1267,671.5848199999999,-0.16537936857685867
E02000160,1276,390.53434,-0.9430397657281597
E02000161,727,138.16633,-1.5855297358139944
E02000162,1002,197.42084,-1.5526014634421836
E02000163,1143,177.22931,-1.8977604139426865
E02000165,631,120.56786,-1.5698010182763356
E02000166,950,512.19458,-0.12690562681666556
E02000167,761,368.67565,-0.2670456654434455
E02000168,1249,529.94119,-0.4797590349496082
E02000169,34,280.6411,3.8665724063859375
E02000170,845,840.45978,0.7459690867969161
E02000171,954,502.48679,-0.16014597816482903
E02000172,928,733.34131,0.4155722273328837
E02000173,1366,1189.889,0.5345467089950332
E02000174,486,396.48961,0.49259383137111395
E02000175,2212,1575.47413,0.22560378014898697
E02000176,537,321.02133,0.047897581502386925
E02000177,1164,802.0972,0.21040851371940114
E02000178,870,2956.06067,2.4855649380363514
E02000179,567,168.6814,-0.9402947211304775
E02000180,329,764.67838,1.99323543535397
E02000181,312,15.523559999999998,-3.3690720977725386
E02000182,1292,1806.23266,1.207688012771094
E02000183,1223,407.4399,-0.8209067381721129
E02000184,1385,1877.40714,1.1605711697739414
E02000185,1099,1856.94003,1.4840828553437
E02000186,4515,5504.8627400000005,0.9527437408278779
E02000187,6697,3847.46221,-0.1334221234927182
E02000188,1572,2848.94099,1.5660798520254011
E02000189,644,2990.9387,2.9428779216399494
E02000191,6297,3928.97788,-0.013362734718555947
E02000192,1960,464.55385,-1.3267549966815475
E02000193,13269,12036.92393,0.48078745653285704
E02000194,2530,1170.64881,-0.3922378386709067
E02000195,1086,786.2390800000001,0.2837903121088793
E02000196,1070,478.81534,-0.39661329635888054
E02000197,1576,867.93685,-0.12207276028525811
E02000198,1237,560.9608,-0.3850850760083594
E02000199,998,157.08536,-1.8690156723799531
E02000200,2575,1122.31551,-0.4778338255827845
E02000201,1517,807.67727,-0.16805541601126234
E02000202,1039,276.26743,-1.1312508290160428
E02000203,4568,2098.07451,-0.431896665779623
E02000204,2028,1838.12465,0.5714827902813241
E02000206,2219,660.35665,-1.0108889547965934
E02000207,950,561.25707,0.0025751359318748335
E02000208,2014,1435.71485,0.23146151670759196
E02000209,1208,353.18542,-1.004934713769012
E02000210,855,205.115,-1.2661543073922705
E02000211,687,75.39789,-2.35309593594546
E02000212,2805,920.24073,-0.8845383431434535
E02000213,9136,7035.29855,0.2667401867573972
E02000214,838,103.03801,-2.206268002739991
E02000215,4108,1357.78446,-0.8929747895338033
E02000216,534,318.88888,0.046678777696859866
E02000217,4661,1229.80784,-1.2184901943203441
E02000218,684,309.98703,-0.3559243926764185
E02000219,1139,711.32663,0.0721436268274071
E02000220,15403,10288.78721,0.03950316216034871
E02000221,2691,893.95699,-0.8647410334557133
E02000222,964,410.48229,-0.46159358616418844
E02000223,1002,211.4864,-1.4554771549008396
E02000224,946,744.85766,0.40948662113795775
E02000225,857,318.20842,-0.649275235988147
E02000226,1670,465.00594,-1.0906059864735405
E02000227,1612,896.16102,-0.10985559082091757
E02000228,486,147.5222,-0.903458697416393
E02000229,1386,369.21046,-1.143677329336467
E02000230,2987,1969.67907,0.1016276511203486
E02000231,471,171.21665000000002,-0.6476529419221788
E02000232,171,115.93025,0.28422941361055515
E02000233,534,144.90794,-1.0665474875552752
E02000234,1754,889.91425,-0.24354229494664253
E02000235,401,72.13273,-1.6267479684084514
E02000236,244,71.44145999999999,-0.9137507724838109
E02000237,741,218.86979,-0.9648716371523695
E02000238,1495,511.12195,-0.7944913876488567
E02000239,1245,389.70415,-0.9099973325375837
E02000240,1295,659.7893799999999,-0.22251293753721654
E02000241,2347,2404.21527,0.7378193081318908
E02000242,1216,267.29665,-1.4084626015714325
E02000243,3429,1312.85976,-0.6756795445971763
E02000244,2224,491.86783,-1.4311926243814717
E02000245,890,899.43966,0.7660109316152283
E02000246,2394,1458.48893,0.00031420333487640345
E02000247,1584,960.8073,0.01450568227784519
E02000248,1474,1341.62949,0.5930701931654193
E02000249,3641,2930.49866,0.3744483569901499
E02000250,776,209.20939,-1.0962071664734176
E02000251,833,368.12086,-0.40162924322464627
E02000252,4869,2234.05858,-0.43647562605917417
E02000253,1350,619.30311,-0.3731501690442507
E02000254,866,1439.98874,1.4728743400153887
E02000255,798,593.40971,0.3369249419304399
E02000256,923,539.92525,-0.010021804177186643
E02000257,8850,8810.46127,0.6324316512203335
E02000258,490,205.21744,-0.45003455777641915
E02000259,879,230.00264,-1.145060838611287
E02000260,5467,3597.93327,0.0691672084533037
E02000261,1496,1440.09526,0.6717162839460901
E02000262,2723,1170.33506,-0.500425315046015
E02000263,2056,2348.68115,0.8988030142308582
E02000264,1018,553.22267,-0.11915304723360297
E02000265,2079,2282.25968,0.841825131618988
E02000266,2444,2664.71617,0.8242627452754449
E02000267,1735,1128.48158,0.10889970850142253
E02000268,1017,491.02565,-0.2865203358765879
E02000269,1652,819.21445,-0.27295478248060573
E02000270,1801,2160.14844,0.9743549536586613
E02000271,384,113.07275,-0.9329164132485117
E02000272,611,204.81124,-0.7760005476544546
E02000274,4307,1938.85622,-0.45747056281653736
E02000275,1994,966.46801,-0.3146773572495891
E02000276,754,446.00099,0.015844895957165497
E02000277,504,320.05282,0.136489345472943
E02000278,712,548.83946,0.39345758500924943
E02000279,680,455.42923,0.19677761756838966
E02000280,677,398.14787,0.013081390822021956
E02000281,1463,257.30678,-1.7333574017090045
E02000282,1019,1169.56598,0.939707359554214
E02000283,768,189.10383,-1.2235938485302433
E02000284,2152,679.02766,-0.9264508265910979
E02000285,335,74.25541,-1.3230738835725209
E02000286,1017,297.8478,-0.9935931969226905
E02000287,348,290.2355,0.5403083431073404
E02000288,3779,2202.77314,-0.08476433300803701
E02000289,174,106.70183,0.14227658346795297
E02000290,1595,320.71002,-1.5487209775736321
E02000291,2579,1946.66414,0.3003505021217351
E02000292,1327,950.7488,0.25913016263122957
E02000293,367,373.08237,0.8175586577854651
E02000294,808,664.07652,0.47798083559589216
E02000295,734,202.4323,-1.0611576195534826
E02000296,3529,2334.53009,0.09796670368593959
E02000297,500,530.99682,0.8643547674980292
E02000298,478,325.31272,0.23707880199820924
E02000299,739,812.71422,0.8948111430751461
E02000300,300,145.30766,-0.21889460202348904
E02000301,594,590.01776,0.7612898162018146
E02000302,304,77.62156,-1.1190114323113913
E02000303,628,321.97069,-0.1771848585662101
E02000304,322,187.53038,0.03718035846562247
E02000305,1292,503.58708,-0.6015743441421382
E02000306,3426,5048.36779,1.2348192490669745
E02000307,356,682.6356,1.7171369450272433
E02000308,1648,1693.63145,0.7596697752090378
E02000309,3086,3984.55783,1.0525943012618608
E02000311,856,932.92236,0.8748640593774937
E02000312,1038,1723.2931,1.4619143637183276
E02000313,873,594.9653999999999,0.20901030682019825
E02000314,3831,1432.68967,-0.714488655456046
E02000315,1997,701.00412,-0.7717360626667378
E02000316,12405,7412.50405,-0.1078929966681399
E02000317,988,740.29359,0.33711990706477285
E02000318,2578,1824.29281,0.20889648538807998
E02000319,2141,1267.50662,-0.034788111834524876
E02000320,830,553.08966,0.1797037750411526
E02000321,889,443.50782,-0.23341919153473362
E02000323,3870,7904.27553,1.6917939189130788
E02000324,1355,485.5977,-0.7228489381445123
E02000326,928,417.6941,-0.3811785674425194
E02000327,1968,1170.34552,-0.024249749477389403
E02000328,702,1048.79654,1.331317079494488
E02000329,1232,443.13091,-0.712851315069815
E02000331,1222,553.41998,-0.3863598229510512
E02000332,667,317.79689,-0.28388312192028353
E02000333,986,421.62643,-0.4567672204883838
E02000334,781,243.40616,-0.891866889879737
E02000335,642,144.17193,-1.3434740594601864
E02000337,1080,418.33477,-0.601314196777412
E02000339,2424,1025.98075,-0.5163670688345474
E02000340,3159,3004.14039,0.6178941115993474
E02000341,1051,279.41731,-1.1320614953413999
E02000342,375,180.98833,-0.23579928302449626
E02000343,814,267.21564,-0.8206754484927138
E02000344,1008,315.9795,-0.8970342202582716
E02000345,1121,2431.22289,1.8369860681830987
E02000346,1157,3642.32942,2.3637089563812936
E02000347,259,300.28241,1.020285398500089
E02000348,524,1106.35505,1.835326549583273
E02000350,699,1362.23177,1.7080932430975195
