lsoa21cd,cluster,lnc_grp,total_activity,log_total_activity,direction_balance,post_midnight_share,deep_night_share,post_midnight_persistence,weekend_ratio,volume_band,tot_boardings,tot_alightings,imd_score,imd_decile,income_score,employment_score,population_2022,n_source_lsoa11,imd_decile_int,distance_to_centre_km
E01000001,1,1,2786.14103,7.932771629000378,0.2576753661317711,0.1137794629154145,0.0628047425151339,0.192616695694358,0.618916772307786,high,1752.0304699999997,1034.11056,8.742,8,0.013,0.014,1795,1,8,2.3797048735499833
E01000002,2,1,104.74833,4.661062025839518,0.3690230670025957,0.0445834315449229,0.0406900997848844,0.0784923678171274,1.096502696494131,low,71.70143999999999,33.04689,4.722,10,0.018,0.01,1671,1,10,2.663313677252293
E01000005,1,1,12380.10901,9.423927123001912,-0.0272503311342005,0.1544194019984643,0.0886642734012565,0.3008541196971855,0.8320712320605262,high,6021.373470000001,6358.735539999999,19.884,5,0.211,0.104,1737,1,5,3.549148304810311
E01000007,1,1,10134.6106,9.2238103037413,0.3325205765675891,0.1819672449970598,0.1064141684930647,0.3369050458936069,0.8278088962982468,high,6752.28858,3382.3220200000005,37.217,2,0.486,0.186,2961,1,2,14.560370280673798
E01000009,1,2,12366.52623,9.422829463980957,-0.0895152292091972,0.1795897448235955,0.1217674213431883,0.3267291805978071,0.8848026893887314,high,5629.766900000001,6736.759330000002,39.153,2,0.403,0.176,1859,1,2,15.020524651212993
E01000011,1,4,660.67767,6.494778534037831,0.090198492708252,0.0466275332114675,0.0258515472454215,0.0769624272600823,0.867742887113613,medium,360.1349,300.5427700000001,36.767,2,0.421,0.148,1719,1,2,14.901101881798308
E01000012,1,4,1509.22083,7.32001116414932,-0.3984554533348178,0.078469225739483,0.049829175760846,0.1267731056837961,0.7988560963902472,high,453.93178000000006,1055.28905,37.53,2,0.494,0.18,2336,1,2,14.418253551492136
E01000013,1,4,4766.06251,8.469485568187865,0.1967504765270064,0.0924474928886318,0.0653362433553142,0.1439357080495904,0.6387898618772582,high,2851.8937899999987,1914.16872,31.914,3,0.387,0.178,1869,1,3,19.338684230284482
E01000015,0,4,1.81088,1.03349760157881,0.6983566001060257,0.0,0.0,0.0,4.986185167232188,low,1.53776,0.27312,30.328,3,0.415,0.19,2357,1,3,20.001851628783356
E01000016,2,5,110.70556,4.715866481022575,0.094881955341719,0.2310862254795513,0.2239018528066702,0.3706612258168555,0.7483064703454714,low,60.60476,50.10079999999999,26.475,4,0.348,0.154,1846,1,4,19.902092932755494
